_id,kilos,frutaNacional,directoNacional,enf,predio,precio.Descarte,precio.FrutaNacional,descarteLavado_descarteGeneral,descarteLavado_pareja,descarteLavado_balin,descarteLavado_descompuesta,descarteLavado_piel,descarteLavado_hojas,descarteEncerado_descarteGeneral,descarteEncerado_pareja,descarteEncerado_balin,descarteEncerado_extra,descarteEncerado_descompuesta,descarteEncerado_suelo,precio.6887f225e5e1fd727f8eb910,precio.688d371d142dfaceecae9958,precio.689a05d0102fb4cb445579bc,exportacion.6887f225e5e1fd727f8eb910,exportacion.688d371d142dfaceecae9958,exportacion.688b99b4611afbbf5e0cacb6,precio.688b99b4611afbbf5e0cacb6,precio.68966e7249e7fd7eff70c74c,precio.68966eb849e7fd7eff70c74d,exportacion.689a05d0102fb4cb445579bc,exportacion.68966eb849e7fd7eff70c74d,exportacion.68966e7249e7fd7eff70c74c,precio.undefined
685378fe828bec8d066d81c1,8604,0,1702.875,EF1-2506948,La Miranda ~ CM Citrus,0,300,489,60,23,11,0,3,170,798,0,0,10,10,,,,,,5280,1200,1200,100,,,,
685dc7ef99041dd18e38a3a9,120,0,120,EF8-250693,La Miranda ~ CM Citrus,800,0,,,,,,,,,,,,,2300,2300,1000,,,,,,,,,,
685dc8a599041dd18e38a443,90,0,90,EF8-250694,La Miranda ~ CM Citrus,0,0,,,,,,,,,,,,,,,,,,,1200,1200,100,,,,
6867fc7bda450915fbc13d1a,376,209,0,EF1-25071035,La Miranda ~ CM Citrus,0,0,4,0,5,7,0,0,0,95,28,0,0,0,,,,,,,,,,,,,0
687041ba125b9875c91385d1,198,0,198,EF8-2507109,La Miranda ~ CM Citrus,0,0,,,,,,,,,,,,,,,,,,,1200,1200,100,,,,
68704bd9125b9875c9138e84,9985,0,0,EF1-25071066,La Miranda ~ CM Citrus,0,0,1924,0,23,77,0,19,947,0,114,209,8,24,,,,,,6240,1200,300,300,,400,,
687164b565f3a9101309d40e,9245,0,0,EF1-25071069,La Miranda ~ CM Citrus,0,0,2827,0,28,17,0,20,703,342,0,12,9,23,,,,,,4040,1200,0,300,,1200,,
6871c4c014e1b89a59bd4c92,11675,880,0,EF1-25071075,La Miranda ~ CM Citrus,0,300,2448,0,523,15,0,11,663,304,0,102,8,21,,,,,,4960,1200,0,300,,1640,,
6872985f015f83e16ce5cc13,274,0,274,EF8-2507111,La Miranda ~ CM Citrus,0,0,,,,,,,,,,,,,,,,,,,1200,1200,100,,,,
6877ff9e1544fc0d23374d3c,9270,1843,0,EF1-25071087,La Miranda ~ CM Citrus,200,1200,1840,0,41,11,0,2,437,779,0,0,0,16,,,,,,3120,1200,0,1200,,1000,,
687824ec2e1bee001ea2f598,7696,2318,0,EF1-25071089,La Miranda ~ CM Citrus,200,1200,1329,0,12,9,0,12,741,703,0,0,0,16,,,,,,2240,1200,0,1200,,200,,
687849f02e1bee001ea2f6c6,9275,2603,0,EF1-25071092,La Miranda ~ CM Citrus,200,1200,1376,0,27,17,0,2,589,779,0,0,12,37,,,,,,3240,1200,0,1200,,480,,
68795c9b15ac00985bd2ceaf,8990,2774,0,EF1-25071098,La Miranda ~ CM Citrus,200,1200,1330,0,53,12,0,14,770,735,0,0,0,26,,,,,,2720,1200,0,1200,,480,,
687969e215ac00985bd2d4b9,9175,3121,0,EF1-25071099,La Miranda ~ CM Citrus,200,1200,1335,0,42,9,0,10,860,646,0,0,35,16,,,,,,2640,1200,0,1200,,440,,
68798c2315ac00985bd2e75c,6436,76,0,EF1-25071101,La Miranda ~ CM Citrus,200,1200,822,0,14,9,0,12,917,133,0,773,5,16,,,,,,3200,1200,0,1200,,400,,
6879951615ac00985bd2e8b9,4623,2546,0,EF1-25071102,La Miranda ~ CM Citrus,200,1200,728,37,0,13,0,8,147,219,0,262,17,22,,,,,,,1200,0,1200,,600,,
6882a6352d102c0504bc2795,9170,0,0,EF1-25071140,La Miranda ~ CM Citrus,300,400,868,0,124,28,0,9,775,475,0,0,12,34,,,,,,4840,1200,1200,1000,,1360,525,
6882d2642d102c0504bc71b6,8767,0,0,EF1-25071142,La Miranda ~ CM Citrus,300,400,723,0,117,34,0,16,589,333,323,0,0,9,,,,,,4520,1200,0,1000,,2000,,
688405b18315892c756d2c86,4097,0,0,EF1-25071145,La Miranda ~ CM Citrus,300,400,658,0,7,12,0,7,304,228,0,0,17,15,,,,,,2400,1200,0,1000,,440,,
688c272bce82ab81f0ce86fc,9851,0,0,EF1-25071170,La Miranda ~ CM Citrus,400,800,1126,0,201,71,0,6,599,278,0,0,0,18,,,,,,4800,1200,1200,1000,,1560,1020,
688d313ace82ab81f0cf06cb,9270,0,0,EF1-25081174,La Miranda ~ CM Citrus,400,800,1584,25,0,19,0,13,1140,140,54,0,22,9,,,,,,2320,1200,1200,1000,,360,3510,
688d488bce82ab81f0cf13b2,2444,0,0,EF1-25081176,La Miranda ~ CM Citrus,400,800,430,0,42,8,0,4,548,76,0,0,0,3,,,,,,720,1200,1200,1000,,240,390,
688e52b7ce82ab81f0cfdf20,7624,0,0,EF1-25081183,La Miranda ~ CM Citrus,400,800,1299,0,9,23,0,6,963,0,11,53,0,13,,,,,,1240,1200,1200,1000,,1040,2745,
68967412ce82ab81f0d491fa,8000,0,0,EF1-25081201,La Miranda ~ CM Citrus,400,800,1280,0,26,42,0,3,608,285,64,112,12,8,,,,,,4200,1200,1200,1000,,1200,,
689a860aaedee91299ed8657,6928,5111,0,EF1-25081206,La Miranda ~ CM Citrus,700,1000,1135,0,20,12,0,3,213,264,34,0,0,0,,,,,,,1200,1200,1000,,,,
689ba7d8aedee91299edab78,7471,6251,0,EF1-25081209,La Miranda ~ CM Citrus,700,1000,832,0,9,9,0,4,187,147,22,0,0,0,,,,,,,1200,1200,1000,,,,
689bd1bcaedee91299edb05c,3918,2128,0,EF1-25081211,La Miranda ~ CM Citrus,700,1000,423,0,6,2,0,0,257,28,24,19,0,0,,,,,,880,1200,1200,1000,,120,,
689cf8aeaedee91299edc327,5540,0,0,EF1-25081215,La Miranda ~ CM Citrus,700,1000,962,0,0,19,0,2,536,28,19,116,0,345,,,,,,3360,1200,1200,1000,,160,,
689d30c5aedee91299edcee0,5874,0,0,EF1-25081219,La Miranda ~ CM Citrus,700,1000,1186,0,0,13,0,2,579,19,38,126,0,11,,,,,,3440,1200,1200,1000,,480,,
689e392caedee91299edfbd6,6526,0,0,EF1-25081221,La Miranda ~ CM Citrus,700,1000,1537,0,11,15,0,18,459,52,0,190,0,0,,,,,,3960,1200,1200,1000,,200,,
689e7ac1aedee91299ee1352,5914,0,0,EF1-25081225,La Miranda ~ CM Citrus,700,1000,1310,0,5,7,0,4,484,242,0,76,10,12,,,,,,2840,1200,1200,1000,,920,,
689f8905aedee91299ee7d63,6576,0,0,EF1-25081232,La Miranda ~ CM Citrus,700,1000,1540,0,25,12,0,4,1540,0,25,0,12,0,,,,,,880,1200,1200,1000,,520,2025,
689fb512aedee91299eea7bf,7627,475,0,EF1-25081236,La Miranda ~ CM Citrus,700,1000,1783,0,11,17,0,6,547,266,0,258,0,15,,,,,,1520,1200,1200,1000,,560,2160,
68a3a1daaedee91299f00ad7,3072,1843,0,EF1-25081248,La Miranda ~ CM Citrus,700,1000,493,0,15,7,0,0,78,68,0,0,0,0,,,,,,360,1200,1200,1000,,80,45,
68a4f53caedee91299f1236f,7859,3920,0,EF1-25081253,La Miranda ~ CM Citrus,700,1000,925,0,14,24,0,5,371,111,0,0,0,10,,,,,,2360,1200,1200,1000,,120,,
68a60eaeaedee91299f188c2,2520,0,0,EF1-25081255,La Miranda ~ CM Citrus,700,1000,399,0,10,9,0,2,80,11,0,76,0,19,,,,,,1720,1200,1200,1000,,160,,
68b0c87fe0b3234f4e4fcca0,3504,0,0,EF1-25081295,La Miranda ~ CM Citrus,700,1000,403,0,32,7,0,0,192,43,138,38,0,0,,,,,,1960,1200,1200,1000,,640,,
68b222b4758361e4b44a0aca,5256,1539,0,EF1-25081309,La Miranda ~ CM Citrus,700,1000,560,0,5,0,0,0,843,294,67,0,15,27,,,,,,,1200,1200,1000,,400,1500,
68b5f9cd34e0a277d544dd50,1650,0,0,EF1-25091325,La Miranda ~ CM Citrus,800,1200,263,0,11,10,0,4,152,19,0,19,0,16,,,,,,360,1500,1500,1000,,280,510,
68b7581a076ac07f62bc229b,1830,0,0,EF1-25091328,La Miranda ~ CM Citrus,800,1200,198,0,3,11,0,4,279,19,2,13,0,10,,,,,,440,1500,1500,1000,,120,720,
68ba29ab95a45e4b4669ed31,3213,0,0,EF1-25091344,La Miranda ~ CM Citrus,800,1200,240,0,7,6,0,0,139,7,14,53,0,0,,,,,,2600,1500,1500,1000,,120,,
68bb4dd695a45e4b466a5ba5,3223,0,0,EF1-25091349,La Miranda ~ CM Citrus,800,1200,376,0,6,3,0,3,370,0,0,38,0,0,,,,,,2240,1500,1500,1000,,160,,
68bc8d8495a45e4b466af131,5500,0,0,EF1-25091362,La Miranda ~ CM Citrus,800,1200,704,0,8,18,0,4,779,57,0,76,0,14,,,,,,3560,1500,1500,1000,,280,,
68c17133d3ec017e5de132fa,2003,0,0,EF1-25091367,La Miranda ~ CM Citrus,700,1000,,,,,,,,,,,,,,,,,,,1200,1200,1000,,,,
68c8318947a8bb3461648e9f,100,0,0,EF1-25091370,La Miranda ~ CM Citrus,700,1000,,,,,,,,,,,,,,,,,,8,1200,1200,1000,,,,
